Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1971 Feb 17 2109?,2/17/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-395,Tselina-OM,74,1971-013A,1971-013,S04955,4955,53727-117,NIIP-53  LC132/1,RAEX,1971-013A,4/6/1980,88.1,189,174,5.2478
1971 Feb 18 1359?,2/18/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,CIS,Kosmos-396,Zenit-4M No. 49,65.4,1971-014A,1971-014,S04959,4959,Kh76002-048,NIIP-53  LC43/3,RAEX,1971-014A,3/3/1971,89.2,288,185,N/A
1971 Feb 25 1111?,2/25/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,CIS,Kosmos-397,I2P,65.7,1971-015A,1971-015,S04964,4964,Yu22500-13L,NIIP-5   LC90/20,RAEX,1971-015A,,113,2154,576,6.2212
1971 Feb 26 0506?,2/26/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511L,S,CIS,Kosmos-398,T2K No. 2,51.4,1971-016A,1971-016,S04966,4966,Yu15000-015,NIIP-5   LC31,RAEX,1971-016A,12/10/1995,87.3,156,123,13.0021
1971 Jan 12 0930?,1/12/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-390,Zenit-4M,65,1971-001A,1971-001,S04845,4845,7705712-216,NIIP-5   LC31,RAEX,1971-001A,1/25/1971,89.1,258,199,N/A
1971 Jan 14 1200:00,1/14/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,CIS,Kosmos-391,DS-P1-I No. 11,70.9,1971-002A,1971-002,S04847,4847,-,NIIP-53  LC133/3,AVMDS,1971-002A,2/21/1972,87.9,188,156,N/A
1971 Jan 20 1124:00,1/20/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,CIS,Meteor,Meteor-M No. 19,81.2,1971-003A,1971-003,S04849,4849,Kh15000-005,NIIP-53  LC41/1,PL-WWW,1971-003A,6/14/2005,87.4,152,135,5.9943
1971 Jan 21 0840?,1/21/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-392,Zenit-2M,65,1971-004A,1971-004,S04872,4872,Kh76001-038,NIIP-5   LC31,RAEX,1971-004A,2/2/1971,89.2,267,198,N/A
1971 Jan 21 1820,1/21/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 23B,S,US,OPS 7776,GAMBIT-3 Mission 4330,110.8,1971-005A,1971-005,S04874,4874,23B-8 (3B-30),V        SLC4W,Wire,1971-005A,2/9/1971,89.8,396,131,N/A
1971 Jan 26 0036:03,1/26/1971,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ITSO,INTELSAT IV F2,INTELSAT IV F2,13.1,1971-006A,1971-006,S04881,4881,AC-25,CC       LC36A,TR-1022,1971-006A,,1457,36239,36148,9.7537
1971 Jan 26 1244:33,1/26/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,CIS,Kosmos-393,DS-P1-Yu No. 34,71,1971-007A,1971-007,S04884,4884,-,NIIP-53  LC133/3,AVMDS,1971-007A,6/16/1971,89.3,269,207,N/A
1971 Jan 31 2103,1/31/1971,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn V,S,US,Kitty Hawk,Apollo CM-110,,1971-008A,1971-008,S04900,4900,SA-509,KSC      LC39A,KHR-1,1971-008A,2/9/1971,,,,N/A    MO3
1971 Jul  8 2258:00,7/8/1971,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B,S,US,Solrad 10,Solar Explorer C,51.1,1971-058A,1971-058,S05317,5317,S177C,WI       LA3A,LAAFB,1971-058A,12/15/1979,88.7,213,205,1.0739
1971 Jul 16 0141:36,7/16/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,CIS,Meteor,Meteor-M No. 20,81.1,1971-059A,1971-059,S05327,5327,7705711-308,NIIP-53  LC43/4,PL-WWW,1971-059A,8/27/1991,87.5,160,139,10.5161
1971 Jul 16 1050,7/16/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2H Agena D,S,US,OPS 8373,Ferret 16,75,1971-060A,1971-060,S05329,5329,550/FTV 2737?,V        SLC1W,LR710716,1971-060A,8/31/1978,89.1,231,225,41.259
1971 Jul 20 1000?,7/20/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-429,Zenit-4M,51.8,1971-061A,1971-061,S05331,5331,7705712-221,NIIP-5   LC31,RAEX,1971-061A,8/2/1971,88.9,259,183,N/A
1971 Jul 22,,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,,Kosmos,Tselina-OM,,1971-F07,1971-F07,F00632,632,Yu149-32,NIIP-53  LC132/2,AVMNLJ,1963-033A,,,,,
