Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1979 Apr 7 0620:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1091,Parus,1979-028A,1979-028,S11320,11320,NIIP-53  LC132/1,65082-424,RAEX,1979-028A,,
1979 Aug 10 0020:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 2914,S,Westar 3,Westar 3,1979-072A,1979-072,S11484,11484,CC       LC17A,638/D149,KHR-1,1979-072A,,
1979 Aug 10 0228:00,SRILR,"Satish Dhawan Space Centre, India",13.9,80.4,SLV-3,F,Rohini RS-1,Rohini RS-1,1979-F03,1979-F03,F00822,822,SHAR     SLV,SLV-3-E1,Raj,1964-034A,,
1979 Aug 11 0915:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1120,Zenit-4MKM,1979-073A,1979-073,S11485,11485,NIIP-5   LC31?,76047  -759,RAEX,1979-073A,,
1979 Aug 14 1530:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1121,Feniks No. 929,1979-074A,1979-074,S11487,11487,NIIP-53  LC43/3,78055  -929,NK9718-91,1979-074A,,
1979 Aug 17 0745:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1122,Gektor-Priroda,1979-075A,1979-075,S11491,11491,NIIP-53  LC43/4,77025  -126,NK96-26-40,1979-075A,,
1979 Aug 21 1110:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1123,Fram,1979-076A,1979-076,S11496,11496,NIIP-53  LC41/1,76047  -061,NK96-26-40,1979-076A,,
1979 Aug 28 0017:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1124,Oko,1979-077A,1979-077,S11509,11509,NIIP-53  LC43/4,78055  -531,NK9715-48,1979-077A,,
1979 Aug 28 0055:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1125,Strela-2M,1979-078A,1979-078,S11510,11510,NIIP-53  LC132/1,47182-419,RAEX,1979-078A,,
1979 Aug 3 1045:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1119,Orion,1979-071A,1979-071,S11478,11478,NIIP-53  LC43/3,76038  -818,RAEX,1979-071A,,
1979 Aug 31 1130:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1126,Zenit-6,1979-079A,1979-079,S11515,11515,NIIP-53  LC43/4,76047  -444,RAEX,1979-079A,,
1979 Dec 12 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1147,Zenit-6,1979-102A,1979-102,S11638,11638,NIIP-53  LC43/3,76047  -442,RAEX,1979-102A,,
1979 Dec 16 1229:50,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Soyuz T,Soyuz 7K-ST No. 6L,1979-103A,1979-103,S11640,11640,NIIP-5   LC31,78018  -912,NK0204-71,1979-103A,,
1979 Dec 24 1714:38,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 1,S,CAT 01,CAT,1979-104A,1979-104,S11645,11645,CSG      ELA1,L01,CNES32,1979-104A,,
1979 Dec 28 1151:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Gorizont,Gorizont No. 13L,1979-105A,1979-105,S11648,11648,NIIP-5   LC200/40,303-01,NK9602-24,1979-105A,,
